rotten_tomatoes_link,critic_name,top_critic,publisher_name,review_type,review_score,review_date,review_content
m/broken_sea,Marco Reyes,True,Screen Ledger,Fresh,C+,2022-12-17,"A gorgeous, patient picture with a startling final act, and the ambition is admirable even when the execution wobbles. (Review 41)"
m/hollow_harvest,Marco Reyes,True,Screen Ledger,Fresh,2.5/4,2023-05-05,"An absolute delight from the first frame to the last, and it works better as a mood piece than as a story; the editing is actively confusing. (Review 42)"
m/silent_anthem,Marco Reyes,True,Screen Ledger,Fresh,6/10,2022-05-21,"An absolute delight from the first frame to the last, and the ambition is admirable even when the execution wobbles; the editing is actively confusing. (Review 43)"
m/golden_road,Marco Reyes,True,Screen Ledger,Rotten,3/10,2022-10-16,"A tedious, overlong mess that squanders a promising premise, and the editing is actively confusing. (Review 44)"
m/epsilon_road,Marco Reyes,True,Screen Ledger,Fresh,5,2022-10-25,"Beautifully shot and confidently directed, it earns every beat, and it works better as a mood piece than as a story. (Review 45)"
m/golden_sky,Marco Reyes,True,Screen Ledger,Fresh,2.5/4,2019-12-01,"Smart writing and a superb lead turn make this an easy recommendation, and there is a leaner, stranger film buried in here. (Review 46)"
m/beta_city,Marco Reyes,True,Screen Ledger,Fresh,B,2022-08-03,"An absolute delight from the first frame to the last, and the ensemble is uniformly excellent. (Review 47)"
m/hollow_sea,Marco Reyes,True,Screen Ledger,Fresh,B+,2022-08-17,"An absolute delight from the first frame to the last, and the ensemble is uniformly excellent; the ensemble is uniformly excellent. (Review 48)"
m/beta_sea,Marco Reyes,True,Screen Ledger,Fresh,3.5/4,2021-01-21,"Smart writing and a superb lead turn make this an easy recommendation, and the cinematography does real narrative work. (Review 49) Verdict: 3.5/4."
m/beta_machine,Marco Reyes,True,Screen Ledger,Rotten,C-,2020-08-14,"A disappointing misfire that never finds its footing, and the third act abandons its own rules. (Review 50)"
m/broken_sea,Marco Reyes,True,Screen Ledger,Fresh,2.5/4,2022-08-22,"A sharp, moving film with terrific performances and real momentum, and the ambition is admirable even when the execution wobbles; the editing is actively confusing. (Review 51)"
m/epsilon_night,Marco Reyes,True,Screen Ledger,Fresh,8/10,2022-10-17,"Beautifully shot and confidently directed, it earns every beat, and the pacing never slackens; the pacing never slackens. (Review 52) Verdict: 8/10."
m/hollow_anthem,Marco Reyes,True,Screen Ledger,Fresh,4/5,2022-10-26,"An absolute delight from the first frame to the last, and it finds humour without undercutting the drama; the script respects its own premise. (Review 53) Verdict: 4/5."
m/beta_harvest,Marco Reyes,True,Screen Ledger,Fresh,9,2020-09-16,"Smart writing and a superb lead turn make this an easy recommendation, and it finds humour without undercutting the drama. (Review 54) Verdict: 9."
m/gamma_city,Marco Reyes,True,Screen Ledger,Rotten,2,2021-09-17,"Weightless spectacle in search of a reason to exist, and the leads have no chemistry to speak of. (Review 55)"
m/gamma_city,Marco Reyes,True,Screen Ledger,Fresh,4.5/5,2021-08-14,"Beautifully shot and confidently directed, it earns every beat, and the score is used sparingly and lands hard; it finds humour without undercutting the drama. (Review 56)"
m/epsilon_night,Marco Reyes,True,Screen Ledger,Fresh,4/5,2023-09-10,"Assured, generous filmmaking that trusts its audience, and it finds humour without undercutting the drama; the script respects its own premise. (Review 57)"
m/hollow_harvest,Marco Reyes,True,Screen Ledger,Fresh,4.5/5,2023-03-29,"Smart writing and a superb lead turn make this an easy recommendation, and the cinematography does real narrative work; the script respects its own premise. (Review 58) Verdict: 4.5/5."
m/gamma_road,Marco Reyes,True,Screen Ledger,Rotten,2,2020-03-01,"Flat characters and clumsy pacing sink whatever goodwill it builds, and it mistakes volume for tension. (Review 59)"
m/broken_orbit,Marco Reyes,True,Screen Ledger,Fresh,4.5/5,2022-01-06,"An absolute delight from the first frame to the last, and the score is used sparingly and lands hard; the ensemble is uniformly excellent. (Review 60) Verdict: 4.5/5."
m/beta_city,Marco Reyes,True,Screen Ledger,Fresh,85%,2022-05-31,"A gorgeous, patient picture with a startling final act, and the script respects its own premise. (Review 61) Verdict: 85%."
m/beta_night,Marco Reyes,True,Screen Ledger,Fresh,2.5/4,2021-02-16,"A gorgeous, patient picture with a startling final act, and there is a leaner, stranger film buried in here. (Review 62) Verdict: 2.5/4."
m/alpha_signal,Marco Reyes,True,Screen Ledger,Fresh,4/5,2019-05-08,"An absolute delight from the first frame to the last, and the ensemble is uniformly excellent. (Review 63)"
m/beta_sea,Priya Nair,True,Daily Reel,Fresh,A-,2021-02-25,"Smart writing and a superb lead turn make this an easy recommendation, and the pacing never slackens. (Review 64) Verdict: A-."
m/alpha_sea,Priya Nair,True,Daily Reel,Rotten,C-,2022-03-29,"Predictable and lifeless, with dialogue that lands with a thud, and the leads have no chemistry to speak of. (Review 65)"
m/silent_winter,Priya Nair,True,Daily Reel,Fresh,60%,2022-02-10,"Assured, generous filmmaking that trusts its audience, and it works better as a mood piece than as a story. (Review 66)"
m/gamma_orbit,Priya Nair,True,Daily Reel,Rotten,D,2023-03-13,"Flat characters and clumsy pacing sink whatever goodwill it builds, and every twist arrives twenty minutes after you saw it coming. (Review 67)"
m/silent_winter,Priya Nair,True,Daily Reel,Fresh,9,2022-03-10,"Smart writing and a superb lead turn make this an easy recommendation, and the score is used sparingly and lands hard; the script respects its own premise. (Review 68)"
m/beta_machine,Priya Nair,True,Daily Reel,Rotten,1.5/5,2020-08-31,"Flat characters and clumsy pacing sink whatever goodwill it builds, and the leads have no chemistry to speak of; the third act abandons its own rules. (Review 69)"
m/gamma_orbit,Priya Nair,True,Daily Reel,Fresh,C+,2022-08-24,"A gorgeous, patient picture with a startling final act, and the ambition is admirable even when the execution wobbles. (Review 70) Verdict: C+."
m/epsilon_anthem,Priya Nair,True,Daily Reel,Fresh,B,2020-12-30,"Beautifully shot and confidently directed, it earns every beat, and the score is used sparingly and lands hard. (Review 71)"
m/northern_city,Priya Nair,True,Daily Reel,Fresh,60%,2023-04-10,"An absolute delight from the first frame to the last, and it works better as a mood piece than as a story. (Review 72) Verdict: 60%."
m/northern_city,Priya Nair,True,Daily Reel,Fresh,3.5/4,2022-04-27,"Assured, generous filmmaking that trusts its audience, and the score is used sparingly and lands hard. (Review 73)"
m/last_city,Priya Nair,True,Daily Reel,Fresh,5,2022-10-04,"An absolute delight from the first frame to the last, and there is a leaner, stranger film buried in here. (Review 74)"
m/silent_winter,Priya Nair,True,Daily Reel,Fresh,85%,2022-10-09,"A gorgeous, patient picture with a startling final act, and the pacing never slackens; the script respects its own premise. (Review 75)"
m/silent_garden,Priya Nair,True,Daily Reel,Rotten,35%,2023-01-23,"A tedious, overlong mess that squanders a promising premise, and the editing is actively confusing. (Review 76) Verdict: 35%."
m/silent_winter,Priya Nair,True,Daily Reel,Fresh,4.5/5,2022-07-22,"Assured, generous filmmaking that trusts its audience, and the ensemble is uniformly excellent. (Review 77)"
m/alpha_signal,Priya Nair,True,Daily Reel,Fresh,5,2019-06-07,"A gorgeous, patient picture with a startling final act, and there is a leaner, stranger film buried in here. (Review 78)"
m/broken_sea,Priya Nair,True,Daily Reel,Fresh,3/5,2022-11-09,"An absolute delight from the first frame to the last, and the ambition is admirable even when the execution wobbles; the third act abandons its own rules. (Review 79) Verdict: 3/5."
m/beta_night,Priya Nair,True,Daily Reel,Fresh,4/5,2021-04-16,"Assured, generous filmmaking that trusts its audience, and the score is used sparingly and lands hard. (Review 80) Verdict: 4/5."
m/crimson_night,Priya Nair,True,Daily Reel,Fresh,B,2022-06-16,"Beautifully shot and confidently directed, it earns every beat, and the cinematography does real narrative work. (Review 81) Verdict: B."
m/gamma_orbit,Priya Nair,True,Daily Reel,Rotten,C-,2023-06-16,"A tedious, overlong mess that squanders a promising premise, and the third act abandons its own rules. (Review 82)"
m/silent_city,Tom Becker,True,Daily Reel,Fresh,60%,2021-07-14,"Assured, generous filmmaking that trusts its audience, and it works better as a mood piece than as a story; the humour is broad and joyless. (Review 83)"
m/alpha_sea,Tom Becker,True,Daily Reel,Fresh,85%,2022-05-15,"Assured, generous filmmaking that trusts its audience, and the ensemble is uniformly excellent. (Review 84)"
m/golden_road,Tom Becker,True,Daily Reel,Rotten,C-,2022-05-07,"Handsomely mounted and entirely inert, and every twist arrives twenty minutes after you saw it coming. (Review 85)"
m/gamma_orbit,Tom Becker,True,Daily Reel,Rotten,2,2023-08-20,"Handsomely mounted and entirely inert, and the humour is broad and joyless. (Review 86)"
m/alpha_sea,Tom Becker,True,Daily Reel,Fresh,B,2021-09-28,"A gorgeous, patient picture with a startling final act, and the pacing never slackens. (Review 87)"
m/gamma_orbit,Tom Becker,True,Daily Reel,Rotten,D+,2023-03-07,"A tedious, overlong mess that squanders a promising premise, and the leads have no chemistry to speak of. (Review 88)"
m/epsilon_night,Tom Becker,True,Daily Reel,Fresh,4.5/5,2023-01-23,"An absolute delight from the first frame to the last, and the cinematography does real narrative work; the ensemble is uniformly excellent. (Review 89)"
m/beta_road,Tom Becker,True,Daily Reel,Fresh,8/10,2023-04-30,"Smart writing and a superb lead turn make this an easy recommendation, and it finds humour without undercutting the drama. (Review 90)"
m/golden_sea,Tom Becker,True,Daily Reel,Rotten,D+,2020-08-06,"Predictable and lifeless, with dialogue that lands with a thud, and the humour is broad and joyless. (Review 91) Verdict: D+."
m/golden_sea,Tom Becker,True,Daily Reel,Fresh,3/5,2021-07-22,"A gorgeous, patient picture with a startling final act, and the ambition is admirable even when the execution wobbles. (Review 92)"
m/crimson_city,Tom Becker,True,Daily Reel,Fresh,8/10,2020-11-12,"A sharp, moving film with terrific performances and real momentum, and the ensemble is uniformly excellent. (Review 93)"
m/northern_road,Tom Becker,True,Daily Reel,Fresh,3.5/4,2022-11-18,"Beautifully shot and confidently directed, it earns every beat, and the cinematography does real narrative work. (Review 94)"
m/broken_orbit,Tom Becker,True,Daily Reel,Rotten,3/10,2021-11-30,"Predictable and lifeless, with dialogue that lands with a thud, and the editing is actively confusing; the leads have no chemistry to speak of. (Review 95)"
m/last_city,Tom Becker,True,Daily Reel,Fresh,3/5,2023-07-15,"Assured, generous filmmaking that trusts its audience, and it works better as a mood piece than as a story; the third act abandons its own rules. (Review 96)"
m/silent_garden,Tom Becker,True,Daily Reel,Fresh,3/5,2023-08-09,"Beautifully shot and confidently directed, it earns every beat, and the ambition is admirable even when the execution wobbles. (Review 97)"
m/silent_garden,Tom Becker,True,Daily Reel,Rotten,D,2023-02-21,"A tedious, overlong mess that squanders a promising premise, and it mistakes volume for tension. (Review 98)"
m/hollow_sea,Tom Becker,True,Daily Reel,Fresh,A-,2023-06-07,"An absolute delight from the first frame to the last, and the score is used sparingly and lands hard; the score is used sparingly and lands hard. (Review 99)"
m/hollow_road,Tom Becker,True,Daily Reel,Fresh,4/5,2024-01-05,"Assured, generous filmmaking that trusts its audience, and the script respects its own premise; the cinematography does real narrative work. (Review 100)"
m/crimson_city,Tom Becker,True,Daily Reel,Fresh,A-,2020-11-24,"A sharp, moving film with terrific performances and real momentum, and it finds humour without undercutting the drama; the cinematography does real narrative work. (Review 101)"
m/epsilon_night,Tom Becker,True,Daily Reel,Fresh,B,2023-02-13,"Assured, generous filmmaking that trusts its audience, and the pacing never slackens. (Review 102)"
m/hollow_winter,Tom Becker,True,Daily Reel,Fresh,C+,2020-11-11,"Assured, generous filmmaking that trusts its audience, and there is a leaner, stranger film buried in here. (Review 103)"
m/hollow_harvest,Tom Becker,True,Daily Reel,Rotten,35%,2023-07-15,"Weightless spectacle in search of a reason to exist, and every twist arrives twenty minutes after you saw it coming. (Review 104) Verdict: 35%."
m/crimson_night,Tom Becker,True,Daily Reel,Fresh,3.5/4,2022-11-14,"Beautifully shot and confidently directed, it earns every beat, and the cinematography does real narrative work; it finds humour without undercutting the drama. (Review 105)"
m/hollow_winter,Tom Becker,True,Daily Reel,Fresh,8/10,2020-06-13,"Assured, generous filmmaking that trusts its audience, and the script respects its own premise. (Review 106) Verdict: 8/10."
m/alpha_road,Tom Becker,True,Daily Reel,Fresh,A-,2023-04-10,"Beautifully shot and confidently directed, it earns every beat, and the score is used sparingly and lands hard. (Review 107) Verdict: A-."
m/beta_city,Tom Becker,True,Daily Reel,Rotten,3/10,2022-09-14,"Weightless spectacle in search of a reason to exist, and every twist arrives twenty minutes after you saw it coming. (Review 108) Verdict: 3/10."
m/hollow_winter,Tom Becker,True,Daily Reel,Rotten,2,2021-01-09,"Flat characters and clumsy pacing sink whatever goodwill it builds, and every twist arrives twenty minutes after you saw it coming. (Review 109)"
m/beta_road,Tom Becker,True,Daily Reel,Rotten,1.5/5,2023-01-20,"Predictable and lifeless, with dialogue that lands with a thud, and the third act abandons its own rules; the humour is broad and joyless. (Review 110) Verdict: 1.5/5."
m/gamma_city,Tom Becker,True,Daily Reel,Fresh,C+,2022-01-21,"Beautifully shot and confidently directed, it earns every beat, and there is a leaner, stranger film buried in here. (Review 111) Verdict: C+."
m/beta_night,Tom Becker,True,Daily Reel,Fresh,60%,2021-03-19,"Assured, generous filmmaking that trusts its audience, and it works better as a mood piece than as a story; it mistakes volume for tension. (Review 112)"
m/hollow_sea,Tom Becker,True,Daily Reel,Fresh,3/5,2023-03-10,"A sharp, moving film with terrific performances and real momentum, and there is a leaner, stranger film buried in here. (Review 113)"
m/gamma_city,Tom Becker,True,Daily Reel,Rotten,D,2021-01-03,"Weightless spectacle in search of a reason to exist, and the third act abandons its own rules. (Review 114) Verdict: D."
m/beta_sea,Tom Becker,True,Daily Reel,Rotten,D,2021-03-21,"A disappointing misfire that never finds its footing, and it mistakes volume for tension. (Review 115) Verdict: D."
m/gamma_city,Tom Becker,True,Daily Reel,Rotten,C-,2021-09-09,"A tedious, overlong mess that squanders a promising premise, and every twist arrives twenty minutes after you saw it coming; every twist arrives twenty minutes after you saw it coming. (Review 116)"
m/last_city,Lena Fischer,True,Cinema Post,Fresh,6/10,2022-11-23,"Beautifully shot and confidently directed, it earns every beat, and there is a leaner, stranger film buried in here; the editing is actively confusing. (Review 117)"
m/beta_sea,Lena Fischer,True,Cinema Post,Fresh,4/5,2021-10-11,"A sharp, moving film with terrific performances and real momentum, and it finds humour without undercutting the drama. (Review 118)"
m/northern_road,Lena Fischer,True,Cinema Post,Fresh,85%,2023-01-02,"A sharp, moving film with terrific performances and real momentum, and the cinematography does real narrative work; the pacing never slackens. (Review 119)"
m/gamma_city,Lena Fischer,True,Cinema Post,Fresh,85%,2021-10-19,"An absolute delight from the first frame to the last, and the pacing never slackens. (Review 120)"
m/beta_orbit,Lena Fischer,True,Cinema Post,Fresh,A-,2021-02-05,"A sharp, moving film with terrific performances and real momentum, and the script respects its own premise. (Review 121)"
m/beta_winter,Lena Fischer,True,Cinema Post,Fresh,3.5/4,2023-01-21,"Beautifully shot and confidently directed, it earns every beat, and the cinematography does real narrative work; the script respects its own premise. (Review 122) Verdict: 3.5/4."
m/hollow_road,Lena Fischer,True,Cinema Post,Fresh,5,2023-06-24,"Assured, generous filmmaking that trusts its audience, and there is a leaner, stranger film buried in here; the humour is broad and joyless. (Review 123)"
m/delta_road,Lena Fischer,True,Cinema Post,Fresh,4/5,2022-04-02,"A sharp, moving film with terrific performances and real momentum, and the ensemble is uniformly excellent; the ensemble is uniformly excellent. (Review 124) Verdict: 4/5."
m/beta_orbit,Lena Fischer,True,Cinema Post,Fresh,A-,2021-04-09,"A gorgeous, patient picture with a startling final act, and the ensemble is uniformly excellent. (Review 125) Verdict: A-."
m/hollow_sea,Lena Fischer,True,Cinema Post,Fresh,B,2022-08-10,"Assured, generous filmmaking that trusts its audience, and it finds humour without undercutting the drama. (Review 126)"
m/beta_orbit,Lena Fischer,True,Cinema Post,Rotten,1.5/5,2020-03-30,"Predictable and lifeless, with dialogue that lands with a thud, and the humour is broad and joyless. (Review 127)"
m/broken_sea,Lena Fischer,True,Cinema Post,Fresh,5,2023-05-22,"Beautifully shot and confidently directed, it earns every beat, and it works better as a mood piece than as a story; the editing is actively confusing. (Review 128) Verdict: 5."
m/northern_road,Lena Fischer,True,Cinema Post,Fresh,6/10,2022-03-09,"A sharp, moving film with terrific performances and real momentum, and the ambition is admirable even when the execution wobbles. (Review 129)"
m/hollow_sea,Lena Fischer,True,Cinema Post,Fresh,85%,2023-04-13,"An absolute delight from the first frame to the last, and the cinematography does real narrative work. (Review 130) Verdict: 85%."
m/broken_orbit,Lena Fischer,True,Cinema Post,Fresh,8/10,2021-10-24,"A gorgeous, patient picture with a startling final act, and the script respects its own premise. (Review 131) Verdict: 8/10."
m/silent_city,Lena Fischer,True,Cinema Post,Fresh,8/10,2020-09-12,"Assured, generous filmmaking that trusts its audience, and it finds humour without undercutting the drama. (Review 132) Verdict: 8/10."
m/beta_orbit,Lena Fischer,True,Cinema Post,Fresh,8/10,2020-11-16,"Beautifully shot and confidently directed, it earns every beat, and the pacing never slackens. (Review 133)"
m/beta_night,Lena Fischer,True,Cinema Post,Fresh,A-,2021-03-03,"Assured, generous filmmaking that trusts its audience, and the cinematography does real narrative work. (Review 134)"
m/last_sky,Lena Fischer,True,Cinema Post,Fresh,9,2020-09-12,"Assured, generous filmmaking that trusts its audience, and the cinematography does real narrative work; the score is used sparingly and lands hard. (Review 135)"
m/alpha_road,Lena Fischer,True,Cinema Post,Rotten,1/4,2023-02-08,"Handsomely mounted and entirely inert, and the third act abandons its own rules. (Review 136)"
m/delta_road,Lena Fischer,True,Cinema Post,Fresh,8/10,2021-10-06,"Beautifully shot and confidently directed, it earns every beat, and the ensemble is uniformly excellent; the cinematography does real narrative work. (Review 137)"
m/northern_city,Lena Fischer,True,Cinema Post,Fresh,B+,2023-02-13,"Beautifully shot and confidently directed, it earns every beat, and it finds humour without undercutting the drama. (Review 138)"
m/beta_orbit,Lena Fischer,True,Cinema Post,Fresh,6/10,2020-07-14,"Beautifully shot and confidently directed, it earns every beat, and there is a leaner, stranger film buried in here. (Review 139) Verdict: 6/10."
m/beta_sea,Lena Fischer,True,Cinema Post,Fresh,3.5/4,2021-04-29,"Beautifully shot and confidently directed, it earns every beat, and the cinematography does real narrative work; the pacing never slackens. (Review 140)"
m/golden_sea,Lena Fischer,True,Cinema Post,Fresh,8/10,2021-05-21,"A gorgeous, patient picture with a startling final act, and it finds humour without undercutting the drama. (Review 141) Verdict: 8/10."
m/beta_road,Lena Fischer,True,Cinema Post,Fresh,4.5/5,2023-04-14,"A gorgeous, patient picture with a startling final act, and it finds humour without undercutting the drama; the ensemble is uniformly excellent. (Review 142)"
m/gamma_road,Lena Fischer,True,Cinema Post,Fresh,B+,2020-09-19,"A gorgeous, patient picture with a startling final act, and the ensemble is uniformly excellent. (Review 143) Verdict: B+."
m/northern_road,Lena Fischer,True,Cinema Post,Fresh,8/10,2022-11-02,"A sharp, moving film with terrific performances and real momentum, and the ensemble is uniformly excellent. (Review 144) Verdict: 8/10."
m/northern_city,Lena Fischer,True,Cinema Post,Fresh,B,2022-11-05,"Smart writing and a superb lead turn make this an easy recommendation, and the pacing never slackens. (Review 145) Verdict: B."
m/epsilon_road,Lena Fischer,True,Cinema Post,Fresh,2.5/4,2022-10-04,"Beautifully shot and confidently directed, it earns every beat, and it works better as a mood piece than as a story. (Review 146)"
m/crimson_city,Lena Fischer,True,Cinema Post,Fresh,8/10,2020-10-29,"A gorgeous, patient picture with a startling final act, and it finds humour without undercutting the drama. (Review 147)"
m/gamma_orbit,Lena Fischer,True,Cinema Post,Fresh,4/5,2023-07-30,"Assured, generous filmmaking that trusts its audience, and the script respects its own premise. (Review 148)"
m/northern_road,Lena Fischer,True,Cinema Post,Fresh,8/10,2022-05-13,"A gorgeous, patient picture with a startling final act, and the ensemble is uniformly excellent; the script respects its own premise. (Review 149)"
m/beta_road,Lena Fischer,True,Cinema Post,Fresh,4.5/5,2023-08-12,"A gorgeous, patient picture with a startling final act, and the ensemble is uniformly excellent. (Review 150) Verdict: 4.5/5."
m/northern_road,Ivan Petrov,True,Daily Reel,Fresh,C+,2023-01-26,"Beautifully shot and confidently directed, it earns every beat, and there is a leaner, stranger film buried in here; the leads have no chemistry to speak of. (Review 151)"
m/gamma_road,Ivan Petrov,True,Daily Reel,Rotten,3/10,2020-09-18,"A disappointing misfire that never finds its footing, and the leads have no chemistry to speak of. (Review 152)"
m/beta_orbit,Ivan Petrov,True,Daily Reel,Rotten,1.5/5,2020-06-26,"A tedious, overlong mess that squanders a promising premise, and the third act abandons its own rules. (Review 153) Verdict: 1.5/5."
m/alpha_sky,Ivan Petrov,True,Daily Reel,Fresh,4.5/5,2023-01-13,"Beautifully shot and confidently directed, it earns every beat, and the script respects its own premise. (Review 154) Verdict: 4.5/5."
